         1457927 function calls (1423228 primitive calls) in 1.148 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      309    0.001    0.000    0.005    0.000 overrides.py:144(decorator)
    50593    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
       93    0.000    0.000    0.005    0.000 pydoc.py:190(getdoc)
       59    0.001    0.000    0.005    0.000 enum.py:528(__new__)
        1    0.000    0.000    0.005    0.005 readers.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _ndimage_api.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _array_like.py:1(<module>)
      106    0.001    0.000    0.005    0.000 typing.py:746(Literal)
        1    0.000    0.000    0.005    0.005 _codata.py:1(<module>)
        1    0.000    0.000    0.005    0.005 silent_failure_logger.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _svdp.py:1(<module>)
       93    0.000    0.000    0.005    0.000 pydoc.py:174(_getdoc)
    18478    0.003    0.000    0.005    0.000 _docscrape.py:80(is_empty)
     8576    0.004    0.000    0.005    0.000 _docscrape.py:91(peek)
        1    0.000    0.000    0.005    0.005 hmm.py:1(<module>)
        1    0.000    0.000    0.005    0.005 frame.py:513(DataFrame)
      649    0.003    0.000    0.005    0.000 inspect.py:3066(replace)
        2    0.000    0.000    0.005    0.002 dtypes.py:1(<module>)
       40    0.000    0.000    0.005    0.000 dataclasses.py:568(_init_fn)
        2    0.000    0.000    0.005    0.002 _funcs.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _pslinux.py:1(<module>)
        1    0.000    0.000    0.005    0.005 <frozen importlib._bootstrap_external>:1054(source_to_code)
       21    0.000    0.000    0.005    0.000 _distn_infrastructure.py:3380(_construct_docstrings)
    85/30    0.000    0.000    0.005    0.000 typing.py:1267(__getitem__)
        1    0.000    0.000    0.004    0.004 _nearest_centroid.py:1(<module>)
      415    0.001    0.000    0.004    0.000 inspect.py:2095(_signature_bound_method)
     9765    0.004    0.000    0.004    0.000 {method 'expandtabs' of 'str' objects}
